"","TCGA-B6-A0RL-01A-11R-A084-07","TCGA-A2-A0T0-01A-22R-A084-07","TCGA-BH-A18U-01A-21R-A12D-07","TCGA-E2-A15M-11A-22R-A12D-07","TCGA-BH-A0DG-01A-21R-A12P-07","TCGA-E2-A1BC-11A-32R-A12P-07","TCGA-C8-A138-01A-11R-A115-07","TCGA-BH-A0DT-01A-21R-A12D-07","TCGA-A2-A0D4-01A-11R-A00Z-07","TCGA-BH-A0HW-01A-11R-A034-07","TCGA-A2-A0T7-01A-21R-A084-07","TCGA-AR-A1AV-01A-21R-A12P-07","TCGA-BH-A0H9-01A-11R-A056-07","TCGA-BH-A0BL-01A-11R-A115-07","TCGA-AO-A0J2-01A-11R-A034-07","TCGA-A2-A0CT-01A-31R-A056-07","TCGA-BH-A1EV-01A-11R-A137-07","TCGA-BH-A18P-01A-11R-A12D-07","TCGA-BH-A0DD-01A-31R-A12P-07","TCGA-A2-A04N-01A-11R-A115-07","TCGA-B6-A0RE-01A-11R-A056-07","TCGA-B6-A0WY-01A-11R-A109-07","TCGA-AR-A1AT-01A-11R-A12P-07","TCGA-C8-A12L-01A-11R-A115-07","TCGA-A8-A086-01A-11R-A00Z-07","TCGA-A2-A0YK-01A-22R-A109-07","TCGA-A2-A0CL-01A-11R-A115-07","TCGA-BH-A0H5-11A-62R-A115-07","TCGA-A2-A04R-01A-41R-A109-07","TCGA-BH-A0DV-11A-22R-A12P-07","TCGA-BH-A0HP-01A-12R-A084-07","TCGA-A2-A0SU-01A-11R-A084-07","TCGA-B6-A0WS-01A-11R-A115-07","TCGA-BH-A0B5-11A-23R-A12P-07","TCGA-C8-A12Q-01A-11R-A115-07","TCGA-A8-A083-01A-21R-A00Z-07","TCGA-BH-A0E0-11A-13R-A089-07","TCGA-AR-A0TS-01A-11R-A115-07","TCGA-A2-A0EM-01A-11R-A034-07","TCGA-BH-A18M-11A-33R-A12D-07"
"TRAF2","0.303666666666667","-0.78","0.0463333333333333","-1.79683333333333","-0.449","-1.23983333333333","0.329666666666667","-0.249","0.2575","-0.173666666666667","-0.423166666666667","-0.035","-0.191666666666667","-0.378","-0.4525","-0.684","-0.117333333333333","-0.059","-1.0885","-1.23216666666667","-0.182166666666667","-0.1265","0.367833333333333","-0.313833333333333","0.0351666666666667","-0.5455","-0.382833333333333","-0.8035","-0.807666666666667","-0.0335","-0.539833333333333","-0.317","0.256333333333333","-1.165","-0.738166666666667","0.161833333333333","-1.34466666666667","-0.036","-0.5185","-1.08416666666667"
"MGC10981","-4.153","-3.799","-4.41266666666667","-4.42283333333333","-3.97483333333333","-4.14716666666667","-3.7765","-3.67333333333333","-3.46366666666667","-4.17566666666667","-4.45933333333333","-1.98916666666667","-4.567","0.210666666666667","2.466","-4.257","-4.25716666666667","-3.80916666666667","-3.30733333333333","-3.42633333333333","1.59116666666667","-3.93316666666667","-3.2645","2.531","-3.689","-4.222","-3.69133333333333","-3.63583333333333","-3.65116666666667","-3.83033333333333","-4.197","-3.61233333333333","-4.52616666666667","-3.81333333333333","-3.59083333333333","-4.15866666666667","-4.5995","-3.796","-3.61633333333333","-4.95066666666667"
"NUPR1","-0.218","2.17233333333333","2.48133333333333","2.85083333333333","1.57016666666667","2.45133333333333","1.981","2.09216666666667","0.808666666666667","1.33433333333333","2.45466666666667","1.92083333333333","1.707","1.95566666666667","2.49033333333333","0.29","2.5035","2.0105","1.7885","2.42633333333333","0.995333333333333","2.92483333333333","1.9075","1.81666666666667","2.59033333333333","2.03266666666667","1.445","2.24833333333333","1.9555","1.96183333333333","2.21033333333333","2.185","2.6","2.7405","2.29466666666667","1.8065","2.24266666666667","1.4325","1.72733333333333","2.448"
"CCND3","-1.21764285714286","-0.911071428571429","-0.832857142857143","-0.0194285714285714","-1.40542857142857","-0.491428571428571","-0.248142857142857","-1.11921428571429","-0.618928571428571","-1.08485714285714","-0.794142857142857","-0.895642857142857","0.288857142857143","-0.949","-0.243142857142857","-1.181","-0.923642857142857","-0.7745","-1.66078571428571","-1.53057142857143","-0.614285714285714","-0.0992857142857143","-0.253928571428571","-1.71007142857143","-0.987642857142857","-0.133071428571429","-0.301571428571429","-0.388428571428571","-0.962285714285714","-0.474357142857143","-0.523857142857143","-0.456","-0.780071428571429","-0.501428571428571","-0.840571428571428","-0.386285714285714","-0.908714285714286","-0.287714285714286","-0.495214285714286","-0.272571428571429"
"S100A4","-2.5575","0.6755","-1.009","0.947","-0.0495","1.17075","-0.04625","-0.79325","-2.127","-2.245","-0.59225","0.09825","-1.70275","0.76175","-1.50825","-1.81525","-0.52625","-1.33475","-1.5","-0.41575","-1.27875","-1.0665","-0.93975","-0.585","0.6115","0.108","0.10825","-0.98225","-1.19825","-0.971","-1.08175","-0.92425","-0.33075","0.634","0.6455","-2.0565","-1.095","1.798","-0.61825","0.46325"
"UNQ473","2.12116666666667","3.025","3.68533333333333","1.023","1.87516666666667","-1.019","3.9065","3.58266666666667","0.314166666666667","-0.277666666666667","2.5505","3.10533333333333","3.5075","2.99066666666667","3.76583333333333","1.55216666666667","3.61566666666667","3.7835","2.859","2.72966666666667","3.355","1.63833333333333","3.207","2.431","1.23533333333333","3.04116666666667","0.982166666666667","2.193","0.674666666666667","2.39016666666667","2.17616666666667","3.48966666666667","-0.128166666666667","-0.448","3.4305","0.628166666666667","1.9195","-0.424333333333333","-0.472833333333333","1.45116666666667"
"MMS19","-1.201625","-0.69675","-0.836625","-1.504875","-0.355375","-0.517625","-0.719125","-0.26975","-0.898375","-0.65925","-0.35525","0.1435","-0.321875","-0.476125","-1.778625","-0.709625","-0.23725","-0.274875","-1.163875","-0.97525","-0.0165","-0.492875","0.137125","-0.81925","-0.180625","-0.60425","-0.734","-0.20925","0.0715","0.073375","-0.19875","-0.36275","-0.08475","-0.163875","-0.34875","-0.48125","-0.6645","-0.296625","-0.607625","-0.687375"
"APPBP2","-0.641","-0.912285714285714","-0.678857142857143","-0.644428571428571","1.82464285714286","-0.110142857142857","-1.4595","-0.277714285714286","-0.252214285714286","0.539428571428571","-0.0967857142857143","-0.828","-0.528","-1.07285714285714","-1.07657142857143","0.0477857142857143","-0.716357142857143","-0.933","-0.0391428571428572","-0.941928571428571","-0.805285714285714","-0.896071428571429","-0.344214285714286","-1.0785","-0.685714285714286","-0.990214285714286","-0.995214285714286","-0.207","0.127714285714286","-0.688071428571429","-0.726785714285714","0.181785714285714","-0.708785714285714","-0.158857142857143","-0.3075","-0.565285714285714","-0.00600000000000002","-1.22885714285714","-0.527285714285714","-0.431"
"COL17A1","-2.9763","-3.3731","-2.6288","4.1","1.2463","-3.2668","2.4666","2.7903","-1.0243","-2.6826","3.0985","-1.2804","0.493","0.9435","-3.0677","-0.1477","-2.3672","0.00190000000000001","-3.028","0.278","0.0434","3.6974","-2.1071","0.6409","0.3236","2.7746","0.3852","4.0607","0.2113","4.1744","2.6395","1.3111","0.7166","-2.2455","0.7714","-3.1867","3.7854","-1.8006","1.9583","3.7627"
"TXNDC5","-1.577125","-0.01025","-1.563","0.249125","-0.654875","-0.58975","-0.518375","-0.447125","-1.387625","-1.5335","-0.630875","1.09225","-0.827125","0.155125","-1.4415","-1.3285","-0.4695","-0.45825","-1.2255","-0.994","-0.489125","-1.244","-0.485625","-0.805375","-1.190375","-0.103375","-0.582","-1.29175","-0.94725","-0.787125","-0.786125","-1.0875","-0.607","-0.625375","0.189125","-1.63725","-1.01875","0.383625","-1.302625","-0.905375"
