,!Kung,Alur,AndhraBrahmin,CEU,CHB,Chinese,Dalit,Hema,Iban,Irula,JPT,Japanese,Khmer Cambodian,Luhya,Madiga,Mala,Nguni,Pedi,Pygmy,Sotho/Tswana,Stalskoe,Tamil Brahmin,Tuscan,Urkarah,Utah N. European,Vietnamese
!Kung,,,,,,,,,,,,,,,,,,,,,,,,,,
Alur,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra_Brahmin,0.168,0.135,,,,,,,,,,,,,,,,,,,,,,,,
CEU,0.183,0.154,0.033,,,,,,,,,,,,,,,,,,,,,,,
CHB,0.216,0.187,0.075,0.11,,,,,,,,,,,,,,,,,,,,,,
Chinese,0.213,0.179,0.071,0.108,0.001,,,,,,,,,,,,,,,,,,,,,
Dalit,0.178,0.143,0.01,0.056,0.078,0.075,,,,,,,,,,,,,,,,,,,,
Hema,0.052,0.013,0.108,0.123,0.162,0.153,0.116,,,,,,,,,,,,,,,,,,,
Iban,0.216,0.185,0.075,0.112,0.024,0.02,0.078,0.16,,,,,,,,,,,,,,,,,,
Irula,0.193,0.16,0.03,0.073,0.091,0.089,0.031,0.133,0.092,,,,,,,,,,,,,,,,,
JPT,0.218,0.188,0.076,0.112,0.007,0.009,0.079,0.163,0.03,0.092,,,,,,,,,,,,,,,,
Japanese,0.212,0.179,0.072,0.108,0.008,0.009,0.076,0.153,0.031,0.089,0.003,,,,,,,,,,,,,,,
Khmer Cambodian,0.199,0.162,0.055,0.094,0.012,0.009,0.059,0.136,0.013,0.075,0.018,0.018,,,,,,,,,,,,,,
Luhya,0.049,0.009,0.131,0.148,0.18,0.171,0.137,0.011,0.177,0.153,0.181,0.171,0.156,,,,,,,,,,,,,
Madiga,0.174,0.138,0.005,0.05,0.072,0.069,0.006,0.111,0.073,0.027,0.073,0.07,0.052,0.133,,,,,,,,,,,,
Mala,0.174,0.138,0.005,0.053,0.072,0.068,0.006,0.112,0.072,0.026,0.073,0.069,0.051,0.133,0.001,,,,,,,,,,,
Nguni,0.038,0.019,0.146,0.164,0.198,0.191,0.154,0.022,0.197,0.172,0.199,0.19,0.174,0.014,0.15,0.15,,,,,,,,,,
Pedi,0.036,0.016,0.14,0.157,0.192,0.184,0.147,0.018,0.19,0.165,0.193,0.184,0.167,0.01,0.143,0.143,0.004,,,,,,,,,
Pygmy,0.071,0.065,0.196,0.209,0.239,0.24,0.207,0.077,0.24,0.219,0.24,0.238,0.23,0.073,0.204,0.203,0.075,0.072,,,,,,,,
Sotho/Tswana,0.029,0.02,0.144,0.161,0.196,0.189,0.152,0.022,0.195,0.169,0.197,0.188,0.172,0.015,0.147,0.147,0.004,0.004,0.072,,,,,,,
Stalskoe,0.18,0.142,0.023,0.012,0.104,0.101,0.046,0.11,0.108,0.066,0.105,0.101,0.086,0.136,0.04,0.042,0.153,0.145,0.212,0.15,,,,,,
Tamil_Brahmin,0.17,0.135,0.001,0.033,0.078,0.074,0.01,0.107,0.08,0.032,0.08,0.075,0.058,0.13,0.006,0.006,0.146,0.139,0.199,0.143,0.023,,,,,
Tuscan,0.179,0.148,0.032,0.005,0.112,0.109,0.055,0.116,0.113,0.072,0.113,0.109,0.094,0.141,0.048,0.051,0.159,0.151,0.208,0.156,0.01,0.031,,,,
Urkarah,0.183,0.15,0.028,0.014,0.109,0.106,0.051,0.119,0.111,0.069,0.111,0.105,0.091,0.144,0.044,0.047,0.161,0.154,0.212,0.158,0.007,0.027,0.013,,,
Utah N. European,0.184,0.152,0.033,0,0.112,0.109,0.057,0.121,0.114,0.074,0.114,0.109,0.095,0.146,0.051,0.052,0.163,0.156,0.212,0.16,0.012,0.033,0.004,0.014,,
Vietnamese,0.21,0.175,0.066,0.104,0.006,0.002,0.071,0.148,0.014,0.086,0.014,0.015,0.003,0.167,0.064,0.064,0.186,0.18,0.238,0.185,0.099,0.07,0.105,0.102,0.105,
YRI,0.051,0.015,0.141,0.157,0.184,0.177,0.146,0.018,0.181,0.161,0.185,0.177,0.164,0.009,0.142,0.143,0.014,0.011,0.076,0.016,0.147,0.14,0.151,0.154,0.155,0.174
