	BOST	NY	DC	MIAM	CHIC	SEAT	SF	LA	DENV	GAINESVILLE
BOSTON	0	206	429	1504	963	2976	3095	2979	1949	1219
NY	206	0	233	1308	802	2815	2934	2786	1771	1000
DC	429	233	0	1075	671	2684	2799	2631	1616	780
MIAMI	1504	1308	1075	0	1329	3273	3053	2687	1010	338
CHICAGO	963	802	671	1329	0	2013	2142	2054	996	1047
SEATTLE	2976	2815	2684	3273	2013	0	808	1131	1307	2985
SF	3095	2934	2799	3053	2142	808	0	379	1235	2780
LA	2979	2786	2631	2687	2054	1131	379	0	1059	2409
DENVER	1949	1771	1616	2037	996	1307	1235	1059	0	1740
GAINESVILLE	1219	1000	780	338	1047	2985	2780	2409	1740	0
