row.names	cln3.1	cln3.2	clb2.2	clb2.1	alpha0	alpha7	alpha14	alpha21	alpha28	alpha35	alpha42	alpha49	alpha56	alpha63	alpha70	alpha77	alpha84	alpha91	alpha98	alpha105	alpha112	alpha119	cdc15.10	cdc15.30	cdc15.50	cdc15.70	cdc15.80	cdc15.90	cdc15.100	cdc15.110	cdc15.120	cdc15.130	cdc15.140	cdc15.150	cdc15.160	cdc15.170	cdc15.180	cdc15.190	cdc15.200	cdc15.210	cdc15.220	cdc15.230	cdc15.240	cdc15.250	cdc15.270	cdc15.290	cdc28.0	cdc28.10	cdc28.20	cdc28.30	cdc28.40	cdc28.50	cdc28.60	cdc28.70	cdc28.80	cdc28.90	cdc28.100	cdc28.110	cdc28.120	cdc28.130	cdc28.140	cdc28.150	cdc28.160	elu0	elu30	elu60	elu90	elu120	elu150	elu180	elu210	elu240	elu270	elu300	elu330	elu360	elu390	peak
YAL053W	0.34	0.9	-0.58	-0.92	0.21	-0.2	0.2	0.15	0.38	0.37	0.01	-0.4	-0.43	-0.62	0.18	0.24	-0.07	-0.16	0.28	0.43	-0.21	-0.33	NA	NA	NA	-0.19	0.52	-0.7	-0.25	-1.05	0.31	-0.19	0.86	0.35	0.79	0.02	0.34	NA	0.21	-0.95	0.62	-0.69	0.47	-0.48	NA	NA	-0.07	-0.58	-0.05	0.16	0.64	-0.18	0.41	0.02	-0.31	0.31	0.18	0.18	-0.05	-0.09	NA	-0.25	-0.32	0.23	-0.32	-0.42	-0.28	0.07	-0.24	-0.04	0.18	0.16	0.04	-0.2	0.32	0.42	0.1	G1
YAR003W	0.41	0.25	-0.62	-0.29	-0.3	-0.45	0.75	0.37	0.27	-0.28	-0.16	-0.13	-0.56	-0.28	0.11	0.3	0.22	0.08	0.07	-0.02	0.11	-0.1	NA	-0.09	0.23	-0.17	-0.17	-0.44	-0.59	-0.51	-0.23	0.36	0.52	0.67	0.57	-0.49	0.28	-0.15	0.23	-0.42	0.25	-0.09	0.16	0.1	-0.04	0.03	-0.14	0.21	0.84	0.19	-0.26	-0.1	-0.03	-0.09	0	-0.48	0.25	0.29	0.55	-0.42	NA	-0.25	-0.56	-0.44	-0.69	-0.2	-0.22	0.34	-0.02	0.26	0.49	0.26	0.22	0.07	0.01	-0.13	0.05	G1
YAR007C	0.77	0.8	-0.94	-0.42	-0.48	-0.42	0.87	0.92	0.67	-0.18	-0.35	-1.06	-0.81	-0.18	0.53	0.8	0.45	0.16	-0.09	-0.35	-0.11	-0.35	-0.09	0.99	1.53	-0.11	-0.59	-1.21	-1.43	-1.37	-1.16	0.72	0.94	1.15	0.85	0.99	0.15	-0.43	-0.66	-0.85	-1.06	-0.34	-0.09	0.79	0.6	0.66	-0.65	0.01	1.52	0.48	-0.34	-0.71	-0.58	-0.94	-0.6	0.78	0.97	0.88	0.61	NA	-0.36	-0.71	-0.33	-0.83	-0.16	-0.69	-0.24	0.2	0.51	0.54	0.45	0.35	0.25	-0.38	0.24	-0.09	-0.14	G1
YAR008W	0.06	-1.22	-0.76	-0.42	-0.35	0.1	0.47	0.39	0.17	-0.18	-0.21	-0.08	-0.36	-0.08	-0.2	0.5	0.05	-0.2	-0.11	0.3	-0.21	NA	NA	1.02	0.75	-0.65	-0.01	-1.11	-0.31	-0.88	0.22	-0.11	0.58	0.64	0.43	0.02	0.12	-0.55	-0.21	-0.79	0.35	0.07	0.79	0.01	-0.13	-0.25	-1.04	0.29	1.45	0.67	-0.06	-0.5	-0.49	-0.83	-0.41	0.32	0.7	0.59	0.85	0.09	NA	-1.01	-0.61	0.1	-0.34	-0.14	-0.27	0.29	0.69	0.08	0.12	0.03	0.01	0.42	-0.46	-0.41	-0.12	G1
YBL009W	0.56	0.41	-0.45	0.38	-0.8	-1.25	-0.06	0.27	0.51	0.17	0.3	-0.01	-0.29	0.06	-0.15	0.43	0.25	0.21	0.43	-0.04	0.07	-0.1	-0.33	0.33	0.91	0.59	0.52	-0.47	-0.02	-0.56	-0.73	-0.11	0.03	0.18	0.22	0.5	0.18	0.41	-0.02	0.13	-0.13	-0.25	0.07	-0.73	-0.38	-0.35	-1.14	-0.6	0.47	0.49	0.4	0.48	0.69	0.21	0.07	-0.6	-0.24	-0.14	0.55	-0.4	-0.26	NA	NA	-0.68	-0.83	-0.3	-0.54	0.12	0.74	0.51	0.52	0.46	0.56	-0.19	0.07	-0.22	-0.22	G1
YBL035C	0.45	-0.32	-0.81	-0.12	-0.39	-0.58	1.08	1.21	0.52	-0.33	-0.58	-0.08	-1.02	0.51	0.11	0.34	0.39	0.1	-0.47	-0.05	-0.53	-0.24	NA	1.7	1.5	-1.44	-0.62	-2.06	NA	-1.62	-0.2	NA	1.22	1.48	0.87	1.44	0.09	-1.62	-0.13	-2.35	0.03	-0.13	0.65	0.45	0.5	0.23	-0.52	0.75	1.63	0.29	-0.06	-0.36	-0.5	-0.9	-0.65	0.86	1.06	0.59	0.16	NA	-0.54	-0.88	-0.94	-0.59	-0.72	-0.3	0.25	0.79	0.7	0.59	0.36	0.12	0.31	-0.2	-0.47	-0.59	-0.24	G1
YBL111C	1.04	NA	NA	0.44	-0.66	-0.47	0.68	0.72	-0.12	-0.64	-0.51	-0.44	-0.34	0.56	0.37	0.94	0.19	0.04	-0.47	0.22	-0.38	0.32	0.12	0.5	-0.22	-0.59	-0.46	-0.68	-0.82	-0.27	0.41	0.99	1.14	0.54	0.43	-0.03	-0.26	NA	-0.48	-0.65	-0.52	0.51	0.58	0.27	-0.11	-0.38	-0.52	-0.35	0.69	-0.16	-0.27	-0.44	0.19	-0.13	0.02	0.1	0.55	0.27	0.36	NA	-0.05	-0.3	0.06	-1.58	-0.34	0.75	-0.22	-0.04	0.12	0.53	-0.04	0.07	0.43	-0.16	0.18	0	0.31	G1
YBL112C	1.45	1.03	0.33	0.06	-0.87	-0.36	0.51	1.09	-0.21	0.33	-0.97	-0.31	-0.47	0.1	0.43	1.25	-0.1	-0.1	-0.18	0.07	-0.45	0.23	NA	NA	NA	-0.59	-0.44	-0.74	-0.25	-0.36	0.56	0.91	1.19	0.45	0.54	-0.09	-0.32	NA	-0.46	-0.62	0.31	-0.19	0.4	-0.3	NA	NA	-0.05	-1.29	0.39	-0.43	0.37	-0.69	-0.06	-0.22	-0.18	1	0.68	0.72	0.02	-0.03	NA	-0.89	0.65	-0.96	-0.47	-0.18	0.45	0.72	0.28	0.4	0.25	0.1	0.07	-0.27	0	-0.25	-0.13	G1
YBL113C	0.5	NA	NA	0.57	-0.61	-0.35	0.25	0.86	-0.21	-0.47	-0.49	-0.44	-0.35	0.7	0.25	0.85	0.19	0.01	-0.37	0.37	-0.37	0.17	0.11	0.32	-0.16	-0.67	-0.52	-0.77	-0.75	-0.25	0.27	1.02	1.11	0.55	0.37	0.02	-0.14	NA	-0.5	-0.61	-0.52	0.53	0.51	0.3	0.03	-0.27	0	-0.79	0.37	-0.22	0.38	-0.62	-0.08	-0.25	-0.41	1.21	0.66	0.09	-0.29	-0.04	-0.05	-0.41	0.44	-1.41	-0.1	-0.72	0.01	0.16	0.39	0.51	0.25	0.31	0.38	-0.34	0.11	0.2	0.25	G1
YBR007C	0.24	0.45	-0.81	-0.81	-0.09	-0.25	0.05	0.09	0.52	0.13	-0.08	-0.39	-0.11	-0.29	0.11	NA	-0.11	-0.06	0.4	0.58	-0.29	-0.22	NA	NA	NA	0.04	-0.61	-0.38	-0.27	-0.4	-0.06	0.05	0.41	0.17	0.2	0.4	0.41	NA	0.17	-0.2	0.26	0.12	-0.24	-0.05	NA	NA	-0.44	-0.2	0.58	0.33	0.63	0.48	0.17	0.01	-0.28	-0.49	-0.05	0.17	0.23	-0.33	NA	-0.25	-0.56	-0.43	-0.4	-0.15	0	0.56	-0.08	0.11	0.21	0.07	0.31	-0.02	0.11	-0.15	-0.15	G1
