"apply","pared","public","gpa"
"very likely",0,0,3.25999999046326
"somewhat likely",1,0,3.21000003814697
"unlikely",1,1,3.94000005722046
"somewhat likely",0,0,2.80999994277954
"somewhat likely",0,0,2.52999997138977
"unlikely",0,1,2.58999991416931
"somewhat likely",0,0,2.55999994277954
"somewhat likely",0,0,2.73000001907349
"unlikely",0,0,3
"somewhat likely",1,0,3.5
"unlikely",1,1,3.65000009536743
"somewhat likely",0,0,2.83999991416931
"very likely",0,1,3.90000009536743
"somewhat likely",0,0,2.6800000667572
"unlikely",1,0,3.5699999332428
"unlikely",0,0,3.08999991416931
"unlikely",0,1,3.5
"unlikely",0,0,2.17000007629395
"very likely",0,1,3.35999989509583
"somewhat likely",0,0,3.40000009536743
"very likely",0,0,2.75
"somewhat likely",1,0,3.20000004768372
"unlikely",0,0,2.44000005722046
"unlikely",0,0,2.82999992370605
"unlikely",0,1,3
"somewhat likely",0,1,3.26999998092651
"somewhat likely",1,0,3.14000010490417
"somewhat likely",0,0,3.36999988555908
"very likely",0,1,2.78999996185303
"unlikely",0,0,2.90000009536743
"somewhat likely",0,0,3.38000011444092
"unlikely",0,1,2.95000004768372
"unlikely",0,0,2.98000001907349
"unlikely",1,1,3.80999994277954
"unlikely",0,0,2.74000000953674
"unlikely",0,0,2.61999988555908
"unlikely",0,0,2.84999990463257
"somewhat likely",0,0,2.5
"somewhat likely",0,0,2.75
"unlikely",0,0,2.25999999046326
"unlikely",0,0,2.02999997138977
"somewhat likely",1,0,2.84999990463257
"unlikely",0,0,2.72000002861023
"somewhat likely",0,0,2.89000010490417
"somewhat likely",1,0,2.47000002861023
"unlikely",0,0,3.03999996185303
"unlikely",0,0,3.09999990463257
"unlikely",0,0,2.5699999332428
"unlikely",0,0,2.08999991416931
"somewhat likely",0,0,2.94000005722046
"unlikely",0,0,3.45000004768372
"unlikely",0,0,2.75999999046326
"very likely",0,1,2.96000003814697
"unlikely",0,0,2.89000010490417
"somewhat likely",0,0,2.97000002861023
"somewhat likely",0,1,3.91000008583069
"somewhat likely",0,0,2.76999998092651
"unlikely",0,0,2.50999999046326
"unlikely",0,0,3.24000000953674
"unlikely",0,0,2.44000005722046
"somewhat likely",0,0,2.77999997138977
"unlikely",0,0,2.94000005722046
"unlikely",1,0,3.22000002861023
"unlikely",0,0,3.5
"very likely",1,0,3.5699999332428
"somewhat likely",0,0,3.17000007629395
"unlikely",0,1,3.23000001907349
"unlikely",0,0,2.91000008583069
"unlikely",0,0,3.27999997138977
"unlikely",0,1,3.3199999332428
"unlikely",0,0,3.61999988555908
"unlikely",0,0,2.54999995231628
"unlikely",0,0,2.97000002861023
"very likely",1,0,3.63000011444092
"unlikely",0,1,3.01999998092651
"unlikely",0,1,3.59999990463257
"unlikely",0,0,2.95000004768372
"very likely",1,1,3.80999994277954
"somewhat likely",1,0,2.6800000667572
"unlikely",1,0,3.72000002861023
"unlikely",0,0,2.49000000953674
"unlikely",0,0,2.72000002861023
"unlikely",1,0,2.25
"unlikely",0,0,2.52999997138977
"unlikely",0,0,3.25999999046326
"very likely",0,0,2.5699999332428
"unlikely",0,0,2.90000009536743
"unlikely",0,0,3.04999995231628
